method,seed,generation,gold_real
A,2027,8,0
A,2027,9,1
A,2027,10,1
A,2027,12,1
A,2028,2,1
A,2028,3,1
A,2028,4,1
A,2028,5,1
A,2028,6,2
A,2028,7,2
A,2028,8,2
A,2028,9,2
A,2028,11,1
A,2028,12,2
A,2029,3,1
A,2029,4,1
A,2029,5,2
A,2029,6,1
A,2029,7,1
A,2029,8,1
A,2029,9,2
A,2029,10,2
A,2029,11,3
A,2029,12,2
B,2026,7,1
B,2026,8,1
B,2026,9,1
B,2026,10,1
B,2026,12,1
B,2030,7,1
B,2030,8,1
B,2030,9,1
B,2030,10,2
B,2030,11,1
C,2026,1,1
C,2026,2,2
C,2026,3,2
C,2026,4,3
C,2026,5,2
C,2026,6,2
C,2026,7,3
C,2026,8,3
C,2026,9,5
C,2026,10,4
C,2026,11,3
C,2026,12,3
C,2027,1,1
C,2027,2,2
C,2027,3,1
C,2027,4,2
C,2027,5,2
C,2027,7,2
C,2027,8,2
C,2027,9,3
C,2027,10,2
C,2027,11,2
C,2027,12,4
C,2028,1,1
C,2028,2,2
C,2028,3,3
C,2028,4,3
C,2028,5,2
C,2028,6,1
C,2028,7,2
C,2028,8,2
C,2028,9,3
C,2028,10,1
C,2028,11,1
C,2028,12,3
C,2029,1,1
C,2029,2,1
C,2029,3,1
C,2029,4,1
C,2029,5,2
C,2029,6,4
C,2029,7,1
C,2029,8,1
C,2029,9,2
C,2029,10,1
C,2029,11,2
C,2029,12,2
C,2030,1,1
C,2030,2,1
C,2030,3,2
C,2030,4,3
C,2030,5,3
C,2030,6,2
C,2030,7,3
C,2030,8,1
C,2030,9,2
C,2030,10,3
C,2030,11,2
C,2030,12,2
D,2026,1,1
D,2026,2,2
D,2026,3,2
D,2026,4,2
D,2026,5,3
D,2026,6,2
D,2026,7,2
D,2026,9,3
D,2026,10,2
D,2026,11,1
D,2026,12,1
D,2027,1,1
D,2027,2,2
D,2027,3,1
D,2027,4,1
D,2027,5,1
D,2027,7,2
D,2027,8,1
D,2027,9,1
D,2027,10,1
D,2027,11,1
D,2027,12,1
D,2028,1,1
D,2028,2,2
D,2028,3,3
D,2028,4,3
D,2028,5,3
D,2028,6,2
D,2028,7,2
D,2028,8,1
D,2028,9,1
D,2028,10,1
D,2028,11,1
D,2028,12,0
D,2029,1,1
D,2029,2,1
D,2029,3,1
D,2029,4,2
D,2029,5,2
D,2029,6,3
D,2029,7,2
D,2029,8,2
D,2029,11,1
D,2030,1,1
D,2030,2,1
D,2030,3,2
D,2030,4,3
D,2030,5,3
D,2030,6,2
D,2030,7,3
D,2030,8,1
D,2030,9,2
D,2030,10,3
D,2030,11,2
D,2030,12,2
