method,generation,mean,std
A,1,3.5479321479797363,0.24230789457776258
A,2,3.617881488800049,0.18632052992706866
A,3,3.7150472164154054,0.21591804261605418
A,4,3.8815881252288817,0.26770365990431566
A,5,3.9553291320800783,0.3235090980073193
A,6,3.9910233497619627,0.3025549543362438
A,7,4.02021541595459,0.3105283235478283
A,8,4.072996473312378,0.2874513253847902
A,9,4.108535575866699,0.2852691273830335
A,10,4.129045200347901,0.28115743329882303
A,11,4.166098785400391,0.27227752033667524
A,12,4.197821474075317,0.27379123837286334
B,1,3.38212628364563,0.22584718116914465
B,2,3.4548101902008055,0.16858447230265838
B,3,3.5665643215179443,0.300072256318635
B,4,3.621403121948242,0.2664386004508375
B,5,3.6793827533721926,0.30122512844302335
B,6,3.7354109287261963,0.2977871223296857
B,7,3.820142126083374,0.305023759866745
B,8,3.8469261646270754,0.2945382099547712
B,9,3.897277069091797,0.2919335922629537
B,10,3.92672381401062,0.2899718008824668
B,11,3.954157829284668,0.27182140033978497
B,12,4.010696840286255,0.304233740730736
C,1,3.414327621459961,0.0
C,2,3.4515003681182863,0.040457035982096726
C,3,3.4788722515106203,0.06056075011122538
C,4,3.5499218463897706,0.05282051834171031
C,5,3.6182625770568846,0.07063561726806206
C,6,3.667368841171265,0.07426190207527868
C,7,3.7084006309509276,0.08046733781964939
C,8,3.7381470680236815,0.07398458713544129
C,9,3.7623266220092773,0.08748211902038781
C,10,3.7929022789001463,0.0982518648694608
C,11,3.8146286964416505,0.10359716707375007
C,12,3.8489992141723635,0.10245916434302858
D,1,3.414327621459961,0.0
D,2,3.4515003681182863,0.040457035982096726
D,3,3.4788722515106203,0.06056075011122538
D,4,3.5499218463897706,0.05282051834171031
D,5,3.6182625770568846,0.07063561726806206
D,6,3.667368841171265,0.07426190207527868
D,7,3.7084006309509276,0.08046733781964939
D,8,3.7381470680236815,0.07398458713544129
D,9,3.7623266220092773,0.08748211902038781
D,10,3.9181602954864503,0.04339098287514902
D,11,3.9317505836486815,0.045461981172519074
D,12,3.999198818206787,0.09840932690231201
