method,seed,valid_count,unique_valid_count,unique_ratio,reliable_count,unique_reliable_count,best_final_score,best_logsw_reencoded,mean_logsw_reliable,mean_p_reliable,mean_diversity,summary_unique_reliable_count,summary_reliable_count
A,2026,30,25,0.8333333333333334,14,11,4.568654479980469,4.143322467803955,2.9988250082189385,0.8200635043057528,0.8629205500955492,11,14
A,2027,30,30,1.0,18,18,3.911287784576416,3.412126302719116,2.7046970658832126,0.8924055496851603,0.8739019260137553,18,18
A,2028,30,26,0.8666666666666667,9,9,4.188543319702148,3.811401844024658,3.0069143772125244,0.8045984771516588,0.8420014885672894,9,9
A,2029,30,30,1.0,17,17,3.736350059509277,3.3861820697784424,2.9813304227941178,0.931782561189988,0.8691501345909451,17,17
A,2030,30,25,0.8333333333333334,14,12,4.072448387145996,3.734441041946411,3.156927446524302,0.8396566162506739,0.8586274337457578,12,14
B,2026,30,5,0.16666666666666666,27,2,3.697692394256592,3.197862148284912,3.1419806480407715,0.9996491074562074,0.2214692307450532,2,27
B,2027,30,29,0.9666666666666667,11,10,4.242898941040039,3.749959707260132,2.989473748207092,0.9065316617488861,0.8728275060969333,10,11
B,2028,30,21,0.7,6,5,3.895545482635498,3.5611259937286377,3.1900542259216307,0.7850720524787903,0.7710015033109576,5,6
B,2029,30,28,0.9333333333333333,9,9,3.4921302223205566,3.13775372505188,2.6984650558895535,0.8405741585625542,0.8117592789929191,9,9
B,2030,30,25,0.8333333333333334,8,8,4.225261688232422,4.014359951019287,3.0271193385124207,0.8450236395001411,0.8311260031600609,8,8
C,2026,30,9,0.3,29,8,3.7056846618652335,3.2059168815612797,2.633980453014374,0.9998444244265556,0.5362789578040049,8,29
C,2027,30,4,0.13333333333333333,29,4,3.7148828506469727,3.215105533599853,2.8061084747314453,0.9995993971824646,0.27489368987962215,4,29
C,2028,30,5,0.16666666666666666,27,3,3.3883373737335205,2.8884568214416504,2.869053761164347,0.999903659025828,0.2597872636835279,3,27
C,2029,30,18,0.6,24,12,3.920420169830322,3.4205427169799805,2.7752834359804788,0.9996688216924667,0.5545656259218161,12,24
C,2030,30,18,0.6,15,10,3.5504252910614014,3.05053448677063,2.5188117027282715,0.9963934659957886,0.6421286875155582,10,15
D,2026,30,22,0.7333333333333333,24,16,3.599214553833008,3.0993096828460693,2.7088463753461838,0.9623848795890808,0.7442548256660425,16,24
D,2027,30,19,0.6333333333333333,18,11,3.817315044403076,3.623277425765991,3.0065034086054023,0.9195832555944269,0.7639734692972512,11,18
D,2028,30,19,0.6333333333333333,15,6,3.5398526191711426,3.1703851222991943,2.7805399894714355,0.9614341557025909,0.7480872126333329,6,15
D,2029,30,19,0.6333333333333333,17,10,4.080897331237793,3.5809531211853027,2.7640087366104127,0.9660456836223602,0.7242869330932826,10,17
D,2030,30,21,0.7,10,10,3.639518976211548,3.1691384315490723,2.6385440111160277,0.9488871574401856,0.7506724850039709,10,10
