generation,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,docking_score,docking_score_std,gated_base_score,success
1,3.265838861465454,0.9999837875366211,2.7658469676971436,2.7658469676971436,0.2119266390800476,2.7658469676971436,5.298385143280029,0.0,7.660553932189941,0.40941938757896423,3.265838861465454,False
2,3.274568796157837,0.9998412132263184,2.7746481895446777,2.7746481895446777,0.13353809714317322,2.7746481895446777,5.278820991516113,0.0,8.324203491210938,0.5495598316192627,3.274568796157837,False
3,3.2937934398651123,0.9998307228088379,2.7938780784606934,2.7938780784606934,0.12124936282634735,2.7938780784606934,5.302996635437012,0.0,8.368775367736816,0.5594820380210876,3.2937934398651123,False
4,3.352850914001465,0.9998674392700195,2.852917194366455,2.852917194366455,0.14878734946250916,2.852917194366455,5.195952892303467,0.0,8.223196029663086,0.6016362309455872,3.352850914001465,True
5,3.352850914001465,0.9998674392700195,2.852917194366455,2.852917194366455,0.14878734946250916,2.852917194366455,5.195952892303467,0.0,8.223196029663086,0.6016362309455872,3.352850914001465,True
6,3.4107842445373535,0.9998501539230347,2.9108591079711914,2.9108591079711914,0.1393435001373291,2.9108591079711914,5.041964530944824,0.0,8.038534164428711,0.5132352709770203,3.4107842445373535,True
7,3.458702564239502,0.9996335506439209,2.958885669708252,2.958885669708252,0.12460875511169434,2.958885669708252,5.215987682342529,0.0,8.354849815368652,0.605697751045227,3.458702564239502,True
8,3.5013718605041504,0.9998373985290527,3.001453161239624,3.001453161239624,0.11570360511541367,3.001453161239624,5.1283440589904785,0.0,8.207816123962402,0.5319082736968994,3.5013718605041504,True
9,3.559798240661621,0.9998791217803955,3.059858798980713,3.059858798980713,0.13635504245758057,3.059858798980713,5.100186347961426,0.0,8.15074634552002,0.4985570013523102,3.559798240661621,True
10,3.587559223175049,0.999890923500061,3.087613821029663,3.087613821029663,0.13532623648643494,3.087613821029663,5.087543487548828,0.0,8.091636657714844,0.4986931383609772,3.587559223175049,True
11,3.6204185485839844,0.9998842477798462,3.120476484298706,3.120476484298706,0.15885844826698303,3.120476484298706,5.106896877288818,0.0,8.092132568359375,0.49063777923583984,3.6204185485839844,True
12,3.6629440784454346,0.9998544454574585,3.1630167961120605,3.1630167961120605,0.1377505660057068,3.1630167961120605,5.211700439453125,0.0,8.013171195983887,0.44990605115890503,3.6629440784454346,True
