generation,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success
1,3.151421546936035,0.9984103441238403,2.6522164344787598,2.773865222930908,0.4865947365760803,2.6522164344787598,6.269123554229736,0.11725189536809921,True
2,3.3648951053619385,0.9981241822242737,2.865833044052124,2.9845588207244873,0.47490307688713074,2.865833044052124,6.146170616149902,0.011428178288042545,True
3,3.3648951053619385,0.9981241822242737,2.865833044052124,2.9845588207244873,0.47490307688713074,2.865833044052124,6.146170616149902,0.011428178288042545,True
4,3.648634195327759,0.9871112704277039,3.155078649520874,3.255362033843994,0.4011337161064148,3.155078649520874,6.144871711730957,0.01031023170799017,True
5,3.80351185798645,0.9979850053787231,3.3045194149017334,3.409301280975342,0.4191276431083679,3.3045194149017334,6.011475563049316,0.0,True
6,3.891677141189575,0.9953174591064453,3.3940184116363525,3.483532428741455,0.3580563962459564,3.3940184116363525,6.1885905265808105,0.04793835058808327,True
7,3.9821784496307373,0.9978116154670715,3.4832725524902344,3.5799472332000732,0.3866988718509674,3.4832725524902344,6.230226993560791,0.08377422392368317,True
8,4.019021511077881,0.9979902505874634,3.520026445388794,3.6128311157226562,0.3712184727191925,3.5,6.270643711090088,0.11856027692556381,True
9,4.028900146484375,0.9977453351020813,3.530027389526367,3.6198978424072266,0.35948216915130615,3.5,6.349166393280029,0.18614354729652405,True
10,4.062537670135498,0.9956368803977966,3.5647194385528564,3.6534810066223145,0.3550463318824768,3.5,6.200127601623535,0.05786813423037529,True
11,4.098673343658447,0.9977960586547852,3.5997753143310547,3.693485975265503,0.3748426139354706,3.5,6.282975196838379,0.12917380034923553,True
12,4.118130207061768,0.9980344176292419,3.6191132068634033,3.7121787071228027,0.3722620904445648,3.5,6.3622941970825195,0.1974424421787262,True
