seed,generation,A,B,C,D,D_minus_C
2026,1,2.8699190616607666,2.4275699615478517,2.6553146839141846,2.6553146839141846,0.0
2026,2,3.0651928901672365,2.734071063995361,2.8001687049865724,2.8001687049865724,0.0
2026,3,3.277334785461426,2.8580020904541015,3.001889944076538,3.001889944076538,0.0
2026,4,3.4922280311584473,2.91769061088562,3.0240245342254637,3.026635026931763,0.0026104927062990946
2026,5,3.5235864162445067,2.966688966751099,3.093975830078125,3.093975830078125,0.0
2026,6,3.5311633110046388,3.0576191902160645,3.156675636768341,3.1709269682566323,0.014251331488291274
2026,7,3.554430675506592,3.135395336151123,3.2099698066711424,3.2187201023101806,0.008750295639038175
2026,8,3.587896728515625,3.213473653793335,3.2493653297424316,3.3420642375946046,0.09269890785217294
2026,9,3.5994342803955077,3.274550771713257,3.306232452392578,3.4507796287536623,0.14454717636108416
2026,10,3.6167166233062744,3.3093425273895263,3.343088722229004,3.5121642112731934,0.16907548904418945
2026,11,3.661882925033569,3.3650078773498535,3.3751336574554442,3.5554643630981446,0.18033070564270037
2026,12,3.6906261444091797,3.422964334487915,3.396640253067017,3.5836161613464355,0.18697590827941868
2027,1,3.0036041736602783,2.7096605777740477,2.6553146839141846,2.6553146839141846,0.0
2027,2,2.994798994064331,3.0182376861572267,2.812798547744751,2.812798547744751,0.0
2027,3,3.1456003189086914,3.2683746814727783,2.9971672693888345,2.9971672693888345,0.0
2027,4,3.275559997558594,3.546900987625122,3.1178048849105835,3.119351100921631,0.001546216011047541
2027,5,3.380804920196533,3.625562000274658,3.1694122314453126,3.2067438125610352,0.037331581115722656
2027,6,3.4631156444549562,3.690305471420288,3.2282100677490235,3.2416001319885255,0.013390064239501953
2027,7,3.480149030685425,3.775386381149292,3.291133260726929,3.297981023788452,0.006847763061523349
2027,8,3.524956750869751,3.8155384063720703,3.365562677383423,3.415762758255005,0.05020008087158212
2027,9,3.567653942108154,3.8627804279327393,3.3955567836761475,3.4843669891357423,0.08881020545959473
2027,10,3.596638584136963,3.924991083145142,3.4319155693054197,3.5262094020843504,0.09429383277893066
2027,11,3.644208812713623,3.965085172653198,3.4523712158203126,3.5568118572235106,0.10444064140319798
2027,12,3.6696270942687987,3.9977494716644286,3.4761157512664793,3.57915940284729,0.10304365158081064
2028,1,2.818656635284424,2.5738823890686033,2.6553146839141846,2.6553146839141846,0.0
2028,2,2.8461323738098145,2.720647668838501,2.8990710973739624,2.8990710973739624,0.0
2028,3,2.883396863937378,2.8097320079803465,3.0191338658332825,3.0191338658332825,0.0
2028,4,3.0328683058420816,2.9613654136657717,3.097094237804413,3.097964286804199,0.000870048999786377
2028,5,3.0771151185035706,3.1986131191253664,3.1301952838897704,3.1299975395202635,-0.00019774436950692476
2028,6,3.1253963470458985,3.279612112045288,3.152920961380005,3.144701910018921,-0.008219051361083807
2028,7,3.1580461978912355,3.383735179901123,3.17667818069458,3.219407320022583,0.04272913932800293
2028,8,3.221136283874512,3.492064046859741,3.2038488388061523,3.333912467956543,0.1300636291503907
2028,9,3.251367521286011,3.520521545410156,3.228933048248291,3.414024066925049,0.1850910186767578
2028,10,3.2993369102478027,3.535793161392212,3.306187311808268,3.473509645462036,0.16732233365376814
2028,11,3.333204984664917,3.5647803783416747,3.3227962493896483,3.5082016468048094,0.18540539741516104
2028,12,3.357962131500244,3.5945677757263184,3.3712026278177896,3.569302272796631,0.19809964497884147
2029,1,3.0738897800445555,2.7159684181213377,2.6553146839141846,2.6553146839141846,0.0
2029,2,3.1510340372721353,2.769990348815918,2.775310182571411,2.775310182571411,0.0
2029,3,3.2319244742393494,2.8882638931274416,2.874155362447103,2.874155362447103,0.0
2029,4,3.24963108698527,3.0016661167144774,2.9922881921132407,2.9987793564796448,0.0064911643664040675
2029,5,3.2540640830993652,3.1169235706329346,3.1131484508514404,3.1131484508514404,0.0
2029,6,3.2863404750823975,3.2090916633605957,3.162307024002075,3.1362123012542726,-0.026094722747802557
2029,7,3.329323101043701,3.2725571632385253,3.1925288836161294,3.2481534481048584,0.05562456448872899
2029,8,3.35689914226532,3.3424304962158202,3.263151264190674,3.376949167251587,0.11379790306091309
2029,9,3.4139142632484436,3.386591148376465,3.2910754680633545,3.4313735008239745,0.14029803276062003
2029,10,3.460998296737671,3.4212624549865724,3.3403705596923827,3.477589559555054,0.13721899986267116
2029,11,3.4851858615875244,3.464924621582031,3.376630353927612,3.5088109970092773,0.13218064308166522
2029,12,3.5129353523254396,3.5090338230133056,3.41679425239563,3.525062084197998,0.10826783180236799
2030,1,3.173524761199951,2.787135601043701,2.6553146839141846,2.6553146839141846,0.0
2030,2,3.1485180854797363,2.988439178466797,2.800574858983358,2.800574858983358,0.0
2030,3,3.2710354924201965,3.289463837941488,3.0012396574020386,3.0012396574020386,0.0
2030,4,3.530226548512777,3.4161317348480225,3.12019362449646,3.12019362449646,0.0
2030,5,3.668929100036621,3.443436288833618,3.1871245861053468,3.1871245861053468,0.0
2030,6,3.836327838897705,3.4738534450531007,3.26043168703715,3.26043168703715,0.0
2030,7,3.980136203765869,3.5431259155273436,3.2828986167907717,3.2828986167907717,0.0
2030,8,4.028247451782226,3.590179777145386,3.3078143119812013,3.3078143119812013,0.0
2030,9,4.0518372535705565,3.6797327518463137,3.3360111713409424,3.3360111713409424,0.0
2030,10,4.082918262481689,3.7430009841918945,3.36056227684021,3.36056227684021,0.0
2030,11,4.111758995056152,3.7799148559570312,3.4167681694030763,3.4167681694030763,0.0
2030,12,4.14647102355957,3.809945058822632,3.447755217552185,3.447755217552185,0.0
