method,generation,hard_pass_mean,hard_pass_sd,topk_logsw_mean,topk_logsw_sd,best_logsw_mean,mean_ood,n_seeds
A,1,2.0,0.7071067811865476,2.9879188823699954,0.14548215684572635,3.3400422096252442,5.89488489151001,5
A,2,3.6,0.8944271909999159,3.0411352761586508,0.12684710992622936,3.245232582092285,5.807661298116048,5
A,3,4.0,0.7071067811865476,3.161858386993408,0.16429306142911482,3.341107130050659,5.625006718635559,5
A,4,3.0,1.4142135623730951,3.316102794011434,0.2019610500007282,3.3716010093688964,5.471454938252767,5
A,5,4.2,0.44721359549995787,3.3808999276161193,0.23005042323943556,3.4540916442871095,5.496572847366333,5
A,6,4.6,0.8944271909999159,3.448468723297119,0.26839753624790114,3.472172164916992,5.515045331319174,5
A,7,5.0,0.0,3.5004170417785643,0.3082002881975801,3.5269898414611816,5.528209705352784,5
A,8,4.8,0.4472135954999579,3.543827271461487,0.30660753564168297,3.5738460540771486,5.577075424194335,5
A,9,4.6,0.8944271909999159,3.5768414521217347,0.29945550844469243,3.616633987426758,5.592680530548096,5
A,10,4.6,0.8944271909999159,3.61132173538208,0.2926515211982329,3.642432689666748,5.524761085510254,5
A,11,5.0,0.0,3.647248315811157,0.29192509073614814,3.6961954116821287,5.605850048065186,5
A,12,5.0,0.0,3.6755243492126466,0.2955226539284534,3.712898302078247,5.5992012786865235,5
B,1,2.6,1.51657508881031,2.6428433895111083,0.14294257337709168,2.9025454044342043,6.603366661071777,5
B,2,4.0,1.0,2.846277189254761,0.14489057650650974,2.984891080856323,6.260215625762939,5
B,3,4.6,0.8944271909999157,3.0227673021952315,0.2356230069235696,3.141078233718872,5.977335821787516,5
B,4,4.4,1.3416407864998738,3.1687509727478025,0.29075423459462124,3.246817445755005,5.773844537734986,5
B,5,4.8,0.4472135954999579,3.2702447891235353,0.263168313819509,3.339826822280884,5.659810409545898,5
B,6,5.0,0.0,3.342096376419067,0.24552561243008808,3.406641387939453,5.662405872344971,5
B,7,5.0,0.0,3.4220399951934817,0.24773625342917427,3.4777557373046877,5.6561940574645995,5
B,8,5.0,0.0,3.49073727607727,0.23143917277281112,3.5257966041564943,5.725780277252197,5
B,9,5.0,0.0,3.544835329055786,0.23343763798244113,3.573310899734497,5.7805608367919925,5
B,10,5.0,0.0,3.586878042221069,0.24787040526739204,3.6232162952423095,5.774666442871093,5
B,11,5.0,0.0,3.6279425811767583,0.24313559837223075,3.655954647064209,5.861673069000244,5
B,12,5.0,0.0,3.66685209274292,0.23429764173603607,3.7023107051849364,5.88101583480835,5
C,1,3.0,0.0,2.6553146839141846,0.0,2.914358377456665,6.043992233276367,5
C,2,4.4,0.8944271909999161,2.817584678332011,0.04754662608412558,2.9474379062652587,5.71610460281372,5
C,3,3.6,0.5477225575051661,2.9787172198295595,0.05905786773460386,3.0645844459533693,5.195538751284281,5
C,4,4.2,0.8366600265340755,3.0702810947100323,0.058504867640739804,3.116132211685181,5.050241912206014,5
C,5,4.6,0.8944271909999159,3.138771276473999,0.03877376540056904,3.174673652648926,4.999108479817709,5
C,6,4.0,1.0,3.192109075387319,0.049118886466249706,3.2344218254089356,5.068673686981201,5
C,7,4.4,0.894427190999916,3.2306417496999105,0.05287246361288108,3.2686092376708986,5.073374163309733,5
C,8,5.0,0.0,3.2779484844207767,0.06143070568226061,3.3058217048645018,5.114276561737061,5
C,9,5.0,0.0,3.3115617847442627,0.061091184715773614,3.3424613952636717,5.095830173492432,5
C,10,4.6,0.8944271909999159,3.356424887975057,0.046570832574885014,3.37854118347168,5.121230220794677,5
C,11,5.0,0.0,3.388739929199219,0.04877208278521695,3.4187736988067625,5.143948268890381,5
C,12,4.4,0.8944271909999159,3.42170162041982,0.041358161853707484,3.445261240005493,5.178840421040853,5
D,1,3.0,0.0,2.6553146839141846,0.0,2.914358377456665,6.043992233276367,5
D,2,4.4,0.8944271909999161,2.817584678332011,0.04754662608412558,2.9474379062652587,5.71610460281372,5
D,3,3.6,0.5477225575051661,2.9787172198295595,0.05905786773460386,3.0645844459533693,5.195538751284281,5
D,4,4.8,0.4472135954999579,3.0725846791267393,0.056250401244030135,3.1301503658294676,5.230524463653564,5
D,5,4.6,0.8944271909999159,3.1461980438232424,0.048535202479572784,3.186578321456909,5.095569451649983,5
D,6,4.2,1.0954451150103324,3.1907745997111006,0.056852902671606455,3.2389242172241213,5.112832279205323,5
D,7,4.8,0.44721359549995787,3.2534321022033694,0.03620550657168691,3.3303194522857664,5.251964015960693,5
D,8,5.0,0.0,3.3553005886077885,0.04186864601566041,3.413645839691162,5.605335216522216,5
D,9,5.0,0.0,3.4233110713958737,0.05535085930746907,3.4696173667907715,5.579390926361084,5
D,10,5.0,0.0,3.4700070190429684,0.0651610535990317,3.493958616256714,5.584032459259033,5
D,11,5.0,0.0,3.509211406707764,0.05690358277497048,3.53417067527771,5.577804470062256,5
D,12,4.8,0.44721359549995787,3.540979027748108,0.05705677061860714,3.5786967277526855,5.596525630950928,5
