method,fitness_mode,seed,unique_reliable_count,validity,unique_smiles_ratio,internal_diversity,mean_p_sweet_reliable,mean_logsw_reliable,mean_ood_reliable,mean_docking_reliable,runtime_sec
Docking predictor only,docking_surrogate,2026,3,1.0,0.9,0.7106983118083434,0.942692220211029,2.409205516179403,6.444228649139404,9.765563011169434,183.75091123580933
Docking predictor only,docking_surrogate,2027,3,1.0,0.9666666666666668,0.8381769763286231,0.9096835454305012,2.518364985783895,6.502353350321452,8.843383630116781,245.0726227760315
Docking predictor only,docking_surrogate,2028,7,1.0,0.9333333333333332,0.7284122902651393,0.97398156779153,2.317874363490513,6.353866917746408,10.34916877746582,289.86701345443726
Docking predictor only,docking_surrogate,2029,5,1.0,0.9,0.8005017182686318,0.8484247028827667,2.5545504093170166,6.854767958323161,9.247739632924398,249.1404731273651
Docking predictor only,docking_surrogate,2030,5,1.0,0.8,0.7157829105400493,0.9038702011108398,2.2450111389160154,6.233340644836426,9.358848762512206,206.84936213493347
Gate + docking predictor,gated_docking,2026,5,1.0,0.6,0.6400651279066063,0.975757564817156,2.3470864636557445,6.515012400490897,9.853419440133232,204.9752368927002
Gate + docking predictor,gated_docking,2027,5,1.0,0.8666666666666667,0.7848730220064646,0.9099462151527404,2.291521120071411,6.262215423583984,9.435885238647462,196.89197778701785
Gate + docking predictor,gated_docking,2028,8,1.0,0.8666666666666667,0.680983981291609,0.9933903142809868,2.3017603754997253,6.334009885787964,9.624408483505247,193.8543450832367
Gate + docking predictor,gated_docking,2029,5,1.0,0.9,0.7211545278366364,0.9991284847259522,2.2747695446014404,6.4227336883544925,9.620217514038083,209.7526524066925
Gate + docking predictor,gated_docking,2030,5,1.0,0.8,0.7157829105400493,0.9038700819015504,2.2450110912323,6.233340740203857,9.358849143981931,229.2188606262207
Gate + sweet predictor,gated,2026,2,1.0,0.0666666666666666,0.0536398467432951,0.9999638239542644,2.285567577679952,4.377630694707235,7.594158252080281,120.83689618110655
Gate + sweet predictor,gated,2027,4,1.0,0.2666666666666666,0.4019520968014026,0.9997250705957412,2.386390912532806,6.094963002204895,8.060983061790466,175.98563480377197
Gate + sweet predictor,gated,2028,6,1.0,0.3,0.4227208326615324,0.9999649657143488,2.432928058836195,4.91844728257921,7.65375531161273,140.121098279953
Gate + sweet predictor,gated,2029,1,1.0,0.0333333333333333,0.0,0.99996497631073,2.235645810763041,4.230366230010986,7.583501736323039,117.84287095069884
Gate + sweet predictor,gated,2030,7,1.0,0.2666666666666666,0.3684744634846032,0.9999538290089576,2.38038812012508,4.627560533326248,7.764594785098372,142.4624502658844
Sweet predictor only,direct_regressor,2026,2,1.0,0.0666666666666666,0.0536398467432951,0.9999638239542644,2.28556756178538,4.377630710601807,7.594158124923706,120.59773182868958
Sweet predictor only,direct_regressor,2027,4,1.0,0.2666666666666666,0.4019520968014026,0.9997250705957412,2.3863908886909484,6.094963073730469,8.060983085632325,175.96291518211365
Sweet predictor only,direct_regressor,2028,5,1.0,0.2666666666666666,0.3423233854798136,0.9999649480537132,2.3674235255629927,4.603967331073902,7.626295707843922,132.97562265396118
Sweet predictor only,direct_regressor,2029,11,1.0,0.6666666666666666,0.6418114399614626,0.9997757971286774,2.3081423971388078,5.217795027626885,8.079441044065687,176.3137912750244
Sweet predictor only,direct_regressor,2030,7,1.0,0.2666666666666666,0.3684744634846032,0.9999538290089576,2.3803881283464103,4.627560516883587,7.764594850869014,142.31082916259766
